sha256,staffing_problem,confidence,primary_reason,evidence_staffing_cited,evidence_keywords_found,evidence_quotes,evidence_explanation
0268929038bead62553d140db5d9f7e59a47937c9d402d048fab33b5d28854d8,True,medium,shift_coverage_gap,True,"[""only Safety & Security Coordinator in the room"", ""no Safety Security Coordinators in the room""]","[""Staff 2 believed he was unable to leave the room because there were no Safety Security Coordinators in the room with them until Staff 4 came in."", ""Staff 2 stated staying in the room while Youth A continually was escalated by his presence was a necessity, because he was the only Safety & Security Coordinator in the room until Staff 4 came in to assist in the situation.""]","Staffing is explicitly documented as a contributing factor because Staff 2 claimed he could not leave the escalating situation due to being the only Safety & Security Coordinator present at the start of the incident. This indicates a coverage gap where required specialized staff roles were insufficiently covered. However, the link to the violation is indirect since the violation centers on improper restraint techniques and failure to de-escalate, not solely on staffing levels."
02a24955477e62d08166855a9d1ada31b8879362cf9567f0e7ba8a6d335441e2,False,high,not_staffing_related,False,[],[],"The incident narrative describes sexual misconduct by a specific staff member (Staff 1) who demonstrated inappropriate behavior including sleeping on duty, making harmful statements, and failing to provide proper supervision. The violation is explicitly attributed to Staff 1's lack of qualifications and inappropriate conduct, with no mention of staffing levels, ratios, coverage gaps, or insufficient personnel as contributing factors."
02d6ca5dcec90c742d07d4d770077c35e11fdac9ae139c5d56c7e20ec9e17ece,False,high,not_staffing_related,False,[],[],"The violation is solely about opening a satellite office without prior written notification and approval. Staffing is mentioned only as a descriptive detail about the office's limited use, not as a cause or contributing factor to the violation. The cause is documented as confusion about regulatory definitions and a failure to notify, not staffing levels, ratios, or coverage gaps."
02fcbcbf2112d5596f5966669b159171b9479c5a9a678835eca0c073bb8b87eb,False,high,not_staffing_related,False,[],[],"The violation was due to failure to maintain updated contact information in the MISACWIS system and poor communication procedures, not staffing issues. The report documents that on-call staff and assigned workers were present and attempted contact, but used outdated information. No mention is made of understaffing, ratio violations, or coverage gaps as contributing factors."
0453d1af31428435e3c7626952a4fa5ae530136d03d91680cbc9457a8c024698,True,high,ratio_or_minimum_not_met,True,"[""out of ratio"", ""ratio during waking hours is 1 staff to 4 youth"", ""only Staff 1 was working"", ""alone with all nine youth"", ""Staff 1 was alone with nine youth"", ""single staffed""]","[""Director reported on August 7, 2025, at the time the incident occurred, there were three staff members scheduled to work with nine youth at the facility. Staff 1 thought she sent the two overnight staff home when she got into the facility at 7am. Which meant Staff 1 was out of ratio"", ""Staff 1 reported during waking hours, the ratio for the facility is one staff member to every four youth. She reported waking hours begin at 7am. Staff 1 reported on August 7, 2025, she told the other two overnight staff members to go home around 7:10am, and she was alone with all nine youth until 8:00am.""]","The report documents that the facility was out of ratio during waking hours, which directly violates its required staff-to-youth ratio of 1:4. A single staff member (Staff 1) was alone supervising nine youth from approximately 7:10 AM to 8:00 AM, creating a coverage gap. The analysis explicitly states the facility was in non-compliance for not following its ratio policy, and Staff 1 herself stated she would have changed her decision to send other staff home."
045ed578fce5f1ed7cb6af6aefec9a4e6ae6caded897380f6d0fb39b9bd8aa4b,True,high,shift_coverage_gap,True,"[""only staff"", ""only one staff scheduled"", ""working on an island alone"", ""no one to call"", ""sufficient staffing""]","[""Staff 1 reported he was the only staff working the second shift."", ""Staff 1 reported there was only one staff scheduled at the house, so he did not have anyone to call to supervise the youth."", ""It is recommended the facility determine a way to ensure their policy is followed by having sufficient staffing if staff need to use the bathroom or step away.""]","The violation occurred because Staff 1 was the only staff on duty and had to leave youth unsupervised to use the bathroom with no other staff to call for coverage. The report explicitly cites the lack of sufficient staffing to allow for breaks while maintaining required line-of-sight supervision, directly linking the staffing condition to the incident."
048e46b82e5249f2e60e45e7d1dc62454988cf1963ae6644af50169a705540c6,True,high,ratio_or_minimum_not_met,True,"[""not have enough case managers"", ""staff abruptly quit"", ""short two workers"", ""only one fully trained staff"", ""Staff 1 had 22 cases"", ""manage 22 cases"", ""out of caseload compliance""]","[""Allegation: The facility does not have enough case managers to manage the cases they have and are unable to fulfill the case management requirements."", ""Staff 1 had up to 22 cases at one point"", ""She stated there weren\u2019t other options at that time since Staff 2 was new and could only take 5 cases. Staff 3 had not started new worker training yet and wasn\u2019t able to take any cases.""]","The violation explicitly cites insufficient staff as the primary cause. The report documents that three staff abruptly quit, leaving only one fully trained worker with 22 cases—exceeding the rule limit of 15 children per worker. This understaffing directly caused the workload violation and the agency's inability to meet case management requirements."
05313e24de5c597bb90fd604321456ef5fd36cf815e9b18d55ba09cc244535ad,False,high,not_staffing_related,False,[],[],"The report does not mention understaffing, insufficient personnel, ratio violations, or shift coverage gaps as causes of the incident. The established violations are attributed to an individual staff member's misconduct (assisting a youth to run away and providing contraband) and failures in policy adherence and supervision by specific employees. Staffing levels are not documented as a contributing factor."
0548e0ed2193286be90b4c616d727b3ec295a14d4cd867d0352e00d782f187a8,False,high,not_staffing_related,False,[],[],"The report does not mention staffing levels, ratios, or coverage gaps as a factor. The established violation relates to a specific staff member failing to perform a required personal care task (checking/changing briefs before transport), despite being assigned as the youth's 1:1 supervisor at the time. The cause is individual performance/oversight, not insufficient personnel."
05a298bbfe4158f3c91cdc065e2fb6bf0104ade263b0f80e17fd528f06421044,False,high,not_staffing_related,False,[],[],"The report details a specific incident where a staff member struck a youth in violation of policy, with the cause attributed to the staff member's individual actions (e.g., 'Staff 1 admitted he overreacted...and should have walked away'). The narrative describes staff being present (Supervisor, Staff 1, Staff 2) to manage the situation. There is no mention of understaffing, failure to meet ratios, shift coverage gaps, or insufficient personnel as a factor in the incident."
063bb0491a1951c5d023cd381728f0942fcfc971c120529c4f6f29fd86dcb805,False,high,not_staffing_related,False,[],[],"The report does not mention staffing levels, ratios, coverage gaps, or insufficient personnel as a factor. The established violation concerns failure to provide makeup visits and an agency policy that contradicts state requirements, which is a matter of policy compliance and caseworker action, not staffing."
06618c6d99c4a92dd8bfac16708b09539128e2fe219791fbbd198d943d303973,False,high,not_staffing_related,False,[],[],"The violation was caused by individual staff failure to provide adequate supervision and follow proper room-check procedures, not by insufficient staffing levels. The report explicitly states one staff member (Former Staff 1) was on duty providing direct care for three youths, which appears to meet ratio requirements for a 6-bed facility. The cause was the staff member's documented history of sleeping on duty and failing to perform variable interval checks, not a shortage of personnel."
067d2dd622628dc2a1a6a9b305396d28b1654cd3fc58fe926c6fa692c513b870,True,high,ratio_or_minimum_not_met,True,"[""out of ratio"", ""ratio"", ""one staff to every eight youth"", ""step out of ratio"", ""left out of ratio"", ""would be out of ratio""]","[""The agency was out of ratio on at least two occasions."", ""Staff 2 left Staff 9 out of ratio for nine minutes on March 15, 2024 and Staff 1 was out of ratio for three minutes on 02/21/2024."", ""Staff 3 did follow the direction of Staff 2...which would put them out of the ratio.""]","The investigation confirms multiple incidents where staff-to-resident ratios were not maintained, resulting in established violations. The report explicitly documents the facility was 'out of ratio' on specific occasions, with video evidence and staff interviews corroborating these ratio breaches. Staffing levels directly caused the violation, not just training or individual misconduct."
069e1cafdba5b1ada8419683fbd5c25828606eb901216c4c08d0ff33a35fd0ea,True,high,ratio_or_minimum_not_met,True,"[""one staff to one youth ratio"", ""by herself""]","[""The agency is found in non-compliance in providing Youth A his one staff to one youth ratio status."", ""Staff 3 stated she was assigned to Youth A on 09/24/2024 as his one staff to one youth ratio, but she worked the shift by herself with Youth A and Youth B on Charles Inniss unit."", ""The video footage supports Staff 3\u2019s interview that she was on Charles Inniss unit by herself on 09/24/2024 with Youth A and Youth B.""]","The report confirms a violation of Rule 400.4127 (staff to resident ratio) because Youth A had a prescribed 1:1 ratio due to his behavior, but during the incident on 09/24/2024, Staff 3 was alone on the unit with Youth A and another youth. The failure to meet this specific, required supervision ratio is explicitly documented as the reason for the violation."
06b1569ef2858226bcdd21d5bba3273dad0507ab35cc51f941665f4c01e27a20,False,high,not_staffing_related,False,[],[],"The report documents a supervision failure due to a staff member's individual actions, policy non-compliance, and poor judgment, not due to staffing levels. Staff 1 chose to leave a youth unattended, failed to conduct a diligent search, and incorrectly followed a supervisor's directive. There is no mention of understaffing, ratio violations, coverage gaps, or insufficient personnel at the time of the incident."
06d739f2e71b954c305b20f8e69a5ad0520f8ffc1c25fcadf83d771e27061b01,False,high,not_staffing_related,False,[],[],"The violation resulted from a staff member (Staff 1) leaving two youth unsupervised for 15-30 minutes in a movie theater to take a personal phone call, contrary to facility policies requiring line-of-sight supervision. The report does not mention understaffing, ratio issues, coverage gaps, or insufficient personnel. The root cause is documented as an individual's failure to follow supervision policies, not a staffing shortage."
072418ba0965ce7ce804fb9e3067a7f23b1e56aa41bf546b23a241637c7622e2,False,high,not_staffing_related,False,[],[],"The narrative describes a special evaluation violation where an agency failed to recommend appropriate licensing action after an incident involving a foster parent throwing a camera that struck a youth. The investigation focuses on the quality of the evaluation, staff judgment, and adherence to procedural rules. There is no mention of staffing levels, ratios, coverage gaps, or insufficient personnel as a factor in the violation. The cause is linked to the agency's assessment and decision-making process, not staffing resources."
07414c24d0fece2aede762ec1849654641589c6f9468150f02ccc2670279b67a,False,high,not_staffing_related,False,[],[],"The violation is clearly about a failure to follow mandated reporting protocols and agency policy, not about staffing levels. The adoption worker was at home sick when she received the call, admitted she was unsure of protocol, and simply failed to report. There is no mention of understaffing, ratio deficiencies, coverage gaps, or insufficient personnel as contributing factors."
07512464191a03424859773836b75719ed7d8139b9a77f4221408a7e6791be5e,True,high,shift_coverage_gap,True,"[""only staff on his unit"", ""very new staff""]","[""Staff 1 said he heard a staff assistance call over the radio however was not able to respond at first since he was the only staff on his unit."", ""Staff 1 said Staff 2 is a very new staff, so he took over for her""]","The report explicitly documents a shift coverage gap. Staff 1 was initially unable to respond to a staff assistance call because he was 'the only staff on his unit,' which created a coverage problem. This gap is directly linked to the incident as it influenced the sequence of events, where a newer staff member was handling a crisis situation before being replaced by Staff 1, who then escalated it."
075c04e878e3f004be843473ad5c6580e9f5ecebe2e8815ccb9355589684122b,False,high,not_staffing_related,False,[],[],"The violation was confirmed as a staff member striking a youth in retaliation after being hit by the youth. The narrative describes multiple staff present during the incident, intervening and managing the situation. There is no mention of understaffing, ratio issues, coverage gaps, or insufficient personnel as a cause or contributing factor. The cause is documented as an individual staff member's inappropriate reaction."
079c9f3bfcb4c6e67dc857d7e08601ab431f63234daf50beaa6ea933c58ae23d,False,high,not_staffing_related,False,[],[],"The violation concerns improper placement of children in fictive kin placements without prior court approval. The report details issues with court orders, documentation (DHS 5770 form), communication between staff, and interpretation of kinship definitions. There is no mention of staffing levels, ratios, coverage gaps, or insufficient personnel as a cause or contributing factor to the violation."
07b6bdf775adaf7c7fc607885d59250cfdf869fa06f5bafb22655bb75498738d,False,high,not_staffing_related,False,[],[],"The confirmed violation relates to deficiencies in a resident's initial treatment plan documentation (missing required elements like goals, objectives, timeframes). The narrative contains no mention of staffing levels, ratios, shift coverage, or insufficient personnel as a cause or contributing factor for this violation. The violation is attributed to policy/documentation failure, not staffing."
07b9d62820dead7743cd1bbe7df5a026e35ebf8a8e50849c873ed17ac0230d92,False,high,not_staffing_related,False,[],[],"The confirmed violation (failing to allow a youth entry into the building upon return from AWOL) is explicitly attributed to a policy deficiency. The analysis states the agency's AWOL policy failed to address contraband and lacked a definition for it, which supported the staff's incorrect decision. There is no mention of understaffing, failure to meet ratios, shift coverage gaps, or insufficient personnel as a cause or contributing factor. The incident occurred during standard operations with staff present."
080117fec9197e657c21a7af6cc8417eda7fe6b8588377fb73e6ec48bc834de2,False,high,not_staffing_related,True,"[""not having staff"", ""all the staff are about to quit""]","[""Group Home Supervisor reported she did make the statement in the email regarding the facility not having staff to sit with Youth A at the hospital."", ""Group Home Supervisor reported the facility does not have the staff to take Youth A to the hospital and sit with him.""]","The report explicitly states staffing was mentioned in an email, but the analysis shows the violation was solely for unprofessional communication. The incident itself (Youth A's injury and transport) was handled adequately without staffing cited as a cause, and the deputy volunteered transport. The proven violation is about policy/professionalism, not a staffing shortage causing the deficiency."
08add13d49a98713b2d706e446ecbf1e3d5aec089c174e07eecf648f55fd7309,False,high,not_staffing_related,False,[],[],"The violation concerns the absence of a Chief Administrator responsible for day-to-day operations and ensuring compliance, not staffing levels, ratios, or coverage gaps. The report describes a lack of supervision and leadership, but no mention is made of understaffing, insufficient personnel, or related issues."
08e1ccb0ddad1bbb4076755246aced28f9b1f27687112123a3ac65205da2af60,False,high,not_staffing_related,False,[],[],"The report does not mention staffing levels, ratios, coverage gaps, or insufficient personnel as a cause or contributing factor to the established violation. The violation is attributed to a failure in communication and procedure, as evidenced by the Foster Care Worker's admission that she ""should have shared the placement move with BM"" and her explanation that ""the paperwork involved with respites and replacements can be time consuming so that does not leave much time for her to stop and think that she should inform BM."" This points to an individual procedural failure, not a staffing-related problem."
08e2c02249e01fbd25460513f49522d2191992115469759764854a3c8b5651d2,False,high,not_staffing_related,False,[],[],"The report details two unwarranted restraint incidents and a documentation violation without any mention of staffing levels, ratios, or coverage gaps. The violations are attributed to improper use of restraint techniques, insufficient de-escalation, and failure to submit reports on time. No staffing-related factors are documented as causes."
090c0830c90a4f4e6d8f01f89e9111bcd22573a380ebb902eff6653df930c763,False,high,not_staffing_related,False,[],[],"The report documents multiple violations related to documentation, court order compliance, and casework practices, but staffing issues are not mentioned. The narrative attributes violations to factors like worker documentation gaps, misunderstanding court requirements, failure to upload required forms, and lack of detailed case contacts. No explicit statements about understaffing, ratios, coverage gaps, or insufficient personnel are present."
094bee1506fea0500ef64b48ced4f2c7ff563767ec852b494e231c07dd038d66,False,high,not_staffing_related,True,"[""only staff working""]","[""Staff 1 reported on May 6, 2024, he was the only staff working on Youth A\u2019s unit.""]","Staffing is mentioned (Staff 1 was the only staff on the unit), but the violation is explicitly about a staff member using unapproved physical force (a push) against a youth. The report concludes non-compliance based on video evidence showing the push occurred without justification, and the analysis focuses on policy violation, not staffing levels. The staff member's suggestion that calling a supervisor earlier might have helped is noted, but the root cause documented is improper use of force, not insufficient personnel."
09633cdf2816cc2935ef95b3c491371fa6ec1b067d008034216f9ae1f3bc1be9,False,high,not_staffing_related,False,[],[],"The violation is related to inadequate foster home assessment procedures, specifically the failure to thoroughly evaluate changes, verify weapon registration/CCW licenses, complete required compliance checklists (CWL-3080), and document contacts in MISACWIS. Staffing levels, coverage gaps, or insufficient personnel are not mentioned as causes. The issues are attributed to worker knowledge gaps ('did not know she was required to do so'), supervision ('supervisor was new to licensing'), and procedural failures, not understaffing."
0a3a767ad9b8e5e86ee438540d7b7d2e280bc7cda46f3dd0d87717bd06952b47,False,high,not_staffing_related,False,[],[],"The report details three violation allegations (coaching to lie, privacy/confidentiality, and personal hygiene/supplies) and two unfounded allegations. None of the findings or descriptions mention staffing levels, ratios, coverage gaps, or insufficient personnel as a cause or contributing factor. The violations are attributed to individual staff misconduct (coaching, unauthorized recording), policy gaps, and a specific incident with supplies. Staffing is not documented as a factor."
0a4d2ca000e70720e3e1bbdcff4bc0bcd0cca0f86b3b49073c0fe1e936971246,False,high,not_staffing_related,False,[],[],"The report documents a supervision violation where staff failed to follow the specific policy of positioning themselves inside the bathroom when two or more clients are present. The root cause is identified as a staff member not adhering to written procedure, not any lack of available personnel, understaffing, ratio issues, or shift coverage gaps. Staff were present and supervising at the time of incidents (e.g., 'Staff 2 was supervising at the doorway'). The deficiency is about policy/procedure compliance, not staffing levels."
0a650b4e12123da0e47e688735053f6e463079debcc169c92f8f5900d5f72cdf,False,high,not_staffing_related,False,[],[],"The report documents a staff member using threatening language toward a youth, a violation of intervention standards. No mention is made of understaffing, ratios, coverage gaps, or insufficient personnel as contributing factors. The incident is attributed to the individual staff member's conduct and response, with her statement suggesting personal frustration rather than systemic staffing issues."
0a6d98d1a1ef66e0ae393dd30083b657550e6ae902d7a331c6aa8c8f89f0eefc,False,high,not_staffing_related,False,[],[],"The report documents a violation for failing to provide a special evaluation report to a foster parent within the required timeframe. The identified cause was 'a new licensing worker' who did not provide the report as required, which speaks to training, policy implementation, or individual performance. No mention is made of understaffing, failure to meet ratios, operating below minimum staffing levels, shift coverage gaps, or insufficient personnel to provide required care."
0a802d2c7a78491079cd5a6cff7b35a2780a4293c0165811c79db415beec9d73,False,high,not_staffing_related,False,[],[],"The violation is explicitly attributed to Staff 2 forgetting to lock up a knife and secure the knife lockbox, and to a broken pantry door. The report documents that sufficient staff were present and intervened (Staff 1, Staff 2, and Staff 3 were on-site and aware). The rule cited (Sufficiency of Staff) is a general administrative rule used to cite the incident, but the investigation analysis pins the cause on individual staff error and environmental/procedural failures, not on insufficient staffing levels, ratios, or coverage gaps."
0a8cc32eb3eaf133402d28e5a72b8b150f949b7c25d7a61af05c82266af0dfde,False,high,not_staffing_related,False,[],[],"The incident narrative describes a failure to supervise a youth after discharge from a hospital due to a miscommunication/assumption that the youth was being readmitted, not due to insufficient staffing. The facility's staffing ratio policy is mentioned only in the context of provided documentation, not as a factor in the violation. The violation stemmed from a judgment/communication error by staff who were present."
0aa2e7c3ed2d9a60e49bbb7a9f1da37c4a502735d8c81861998b9b0ccd233b3e,False,high,not_staffing_related,False,[],[],"The report contains no mention of staffing levels, ratios, shift coverage, or insufficient personnel as a factor. The established violation is for failing to report suspected abuse/neglect, which is a policy/procedure failure, not a staffing issue. The investigation even found the agency in compliance with the staffing rule (Rule 400.4126)."
0af39419dd58f94608c337c7c30329d8ca7513169bf47b32ecdc84425f730f1b,False,high,not_staffing_related,False,[],[],"The incident involves a staff member testing positive for alcohol while on duty and the subsequent failure to terminate employment immediately, in violation of workplace substance policy. The narrative discusses the staff member's conduct, observations of intoxication, and the agency's response. At no point is understaffing, failure to meet ratios, shift coverage gaps, or insufficient personnel cited as a cause or contributing factor for the violation."
0af6ff0212ca769198dc6df9968457a964ceef4f46dddb52765e9610b8468666,True,high,ratio_or_minimum_not_met,True,"[""out of ratio"", ""facility ratio is one staff per four residents"", ""two staff with nine residents""]","[""The facility was out of ratio on the morning of this incident, 10/01/2021."", ""Staff 1 reported to be alone with five youth on the day of this incident."", ""two staff with nine residents the morning of this incident when the facility ratio is one staff per four residents.""]","The report explicitly documents that the facility was out of ratio during the incident. The analysis states Staff 1 was alone with five youth, and internal investigation notes show two staff with nine residents when the required ratio is 1:4. This violation of R 400.4127 is cited as an additional finding directly tied to the incident date."
0b36452456a1de23151857e15709826671a90da97a40388826bb10b6ed9fcfdf,False,high,not_staffing_related,True,"[""1:6 staffing ratio at sleep time""]","[""Administrator 1 reported that there is 1:6 staffing ratio at sleep time."", ""When facility staff adhere to this practice/procedure adequate supervision is provided to prevent sexual contact... both report that facility staff did not adhere to the identified practice/procedure..."", ""The facility has an identified practice/procedure however this rule requires specific written policies and procedures to provide for the care and safety and protection of youth.""]","The report explicitly states the facility maintained a 1:6 staffing ratio, which was not cited as insufficient or a contributing factor. The confirmed violation was due to staff not following an unwritten supervision procedure (failure to enforce a one-youth-up-at-a-time rule during wake-up) and the lack of a written policy, not due to understaffing, ratio failures, or coverage gaps."
0b3e85d418e8ae375a7cda680f96bcc7807f30d8399b9ae25637fe7f64fc7704,False,high,not_staffing_related,False,[],[],"The violation is clearly attributed to individual staff misconduct (arriving intoxicated, purchasing prohibited items for youth, sleeping on duty, and violating agency policies). There is no mention of understaffing, failure to meet ratios, shift coverage gaps, or insufficient personnel as contributing factors. The cause is the staff member's unsuitability and failure to adhere to rules, not a lack of staff."
0b834861fa79a6a7941d74f788079f38c38db125d361bb9ac88457732ad39657,False,high,not_staffing_related,False,[],[],"The report explicitly attributes the violation to Staff 1's lack of knowledge and failure to perform required checks, not to insufficient staffing levels. Staff 1 reported she 'did not think that she had to' complete checks and was unfamiliar with the program. The 'Technical Assistance' section discusses ensuring staff are prepared and know program expectations, but does not cite understaffing, ratio issues, or coverage gaps as causes. The root cause appears to be training/orientation failure, not a staffing shortage."
