sha256,agency_id,agency_name,document_title,date,level,justification,input_tokens,output_tokens,cost,duration_ms
01a86562abb2868595f3967f48edecf9cf67396862c7bdc0c2259a4e39367cb4,CI820201513,WOLVERINE CENTER,Special Investigation Report #2024C0001082SI,"March 12, 2024",severe,"The report substantiated a violation of Rule 400.4158 for physical punishment, specifically that Staff 1 used a martial arts chokehold on a youth. This falls under the 'Safety and Violence' category (staff-on-youth violence) and the 'Restraint and seclusion' category (use of physical restraints/excessive force) as defined in the severe SIR criteria.",8492,90,0.00224212,5961
01bc5c4ed0bd8e948889c39ba7a21973fd30e130e7c0b4ab192947a2b251acfc,CI790363049,CLARENCE FISCHER CENTER,Special Investigation Report #2024SIC0001255,"Special Investigation Intake Date: March 19, 2024",severe,"The substantiated violation involved staff-on-youth violence, specifically Staff 2 picking up Youth A and slamming him to the ground with sufficient force to cause pain requiring medical evaluation, in violation of rules prohibiting hitting, striking, or pushing a youth. This aligns with the 'Severe SIRs' category for 'Safety and Violence' incidents and also falls under 'Restraint and seclusion' for excessive force/unsafe de-escalation.",5226,105,0.00139971,20740
01c84e428b5a3beb5f57e925151bbae96755eecedd39d9ecea59bf81abf09be1,CI820201487,Sisters of Good Shepherd,Special Investigation Report #2021C0207028,"October 15, 2021",severe,"The substantiated violation involved the use of a physical restraint technique (a single staff member holding a youth by the arms/bicep area) that was not part of the facility's approved Crisis Prevention Institute (CPI) model. This falls under the 'Restraint and seclusion' category for severe SIRs, as it represents an incident suggesting excessive force or unsafe de-escalation practices due to the deviation from the approved safety model.",4659,102,0.00135042,4170
01f8dec51b4a8320bb011ee6ec1713866944aae49b2808e0eefb59a52fc915bf,CI250201313,Whaley Children's Center,Special Investigation Report #2023C0217003,"December 27, 2022",severe,"The report substantiates sexual intercourse (sexual abuse) between Youth A and Youth B occurring on two dates (10/15/2022 and 10/16/2022) during bedtime, along with failure of staff to detect the youth entering another's bedroom due to inadequate visual checks and monitoring intervals exceeding 15 minutes. Sexual intercourse falls under the 'Safety and Violence' category for severe SIRs.",5363,99,0.00132474,167321
022d298e7e95f8f2aa063c8b20c65acedb98f96303771e8b52e97bab169a313a,CE821001676,Wayne County Juvenile Detention Center,Special Investigation Report #2025SIC0000088,"Special Investigation Intake Date: November 7, 2024",severe,"The substantiated violation is a failure to provide a written copy of the grievance resolution. The grievance itself pertained to Youth B's repeated sexual harassment, which included sexual comments, unwanted touching (e.g., hugging, touching buttocks), and exposing genitals to other youth. While the initial allegation of sexual assault was not substantiated, the underlying incidents prompting the grievance constitute youth-on-youth violence (sexual harassment and inappropriate physical contact) and raise serious safety risks. The facility's failure to properly resolve and document the outcome of this safety-related grievance aligns with the 'Severe' category for 'Safety and Violence'.",3963,137,0.00108244,41070
025766ab9f979488ee552a09798b60f6c40e37738a8537477d31007d9177a88c,CI820201513,Wolverine Center,Special Investigation Report #2025SIC0000584,"Special Investigation Intake Date: April 22, 2025",severe,"The substantiated violations involve a youth-on-youth physical assault where a youth was tackled and struck, and staff used unsafe and prohibited physical interventions. Specifically, a staff member improperly restrained a youth (violation of R 400.4159) and another staff member shoved a youth during an intervention (violation of R 400.4158). The incident required police and EMS response. These findings fall under the 'Severe' category due to 'staff-on-youth violence' (shoving and improper restraint) and 'physical assault' (youth-on-youth). The failure to document the restraint (R 400.4163) is a related procedural failure stemming from the serious incident.",5538,154,0.00155994,4555
02d6ca5dcec90c742d07d4d770077c35e11fdac9ae139c5d56c7e20ec9e17ece,CB410201260,WELLSPRING LUTHERAN SERVICES,Special Investigation Report,"February 2, 2024",low,"The substantiated violation is an administrative paperwork/policy compliance error where the agency failed to obtain prior written approval from the licensing department before opening a satellite office. This aligns with the low severity criteria for 'Administrative or paperwork issues' and 'Policy compliance errors (non-safety)' as it involves a reporting and approval failure with no associated safety, violence, restraint, medical, rights denial, or supervision concerns.",1647,95,0.00049916,1962
02fcbcbf2112d5596f5966669b159171b9479c5a9a678835eca0c073bb8b87eb,CB500316267,Family & Community Services Inc,Special Investigation Report #2022C0444012,"June 7, 2022",severe,"The report substantiates that the biological parent was not informed or included in medical/dental treatment and decision-making for their child, including failure to notify the parent about a visit to Urgent Care and a scheduled dental appointment. This constitutes a medical and mental health concern due to missed medical care, unmet treatment needs, and lack of parental involvement in critical health decisions, aligning with the 'severe' category for medical and mental health concerns.",3477,104,0.000874,159056
0453d1af31428435e3c7626952a4fa5ae530136d03d91680cbc9457a8c024698,CI410201464,THE BRIDGE FOR RUNAWAYS,Special Investigation Report #2025SIC0000925,Special Investigation Intake Date: 08/11/2025,severe,"The substantiated violations involve a sexual assault (Youth B penetrating Youth A against her consent) that occurred due to a failure of supervision. This aligns with the 'Severe SIRs' category for 'Safety and Violence' (sexual abuse) and is directly linked to 'Restraint and seclusion' issues (failure to conduct required 15-minute variable interval checks) and 'Environmental or supervision failures' (staff being out of ratio during waking hours, leading to inadequate supervision).",4223,109,0.00118599,3141
045ed578fce5f1ed7cb6af6aefec9a4e6ae6caded897380f6d0fb39b9bd8aa4b,CI520283194,CEDAR CREEK TEACHING FAMILY HOME,Special Investigation Report #2024C0001084SI,"February 6, 2024",severe,"The report substantiates actual violations involving youth-on-youth physical contact (sexual/kissing) due to lack of supervision, aligning with the 'Safety and Violence' category under severe SIRs. Specifically, Youth A and Youth B engaged in kissing and touching each other's genital areas for several minutes while unsupervised because staff left to use the bathroom. This constitutes physical assault and sexual abuse between youths, raising serious safety risks.",7165,101,0.00175798,292534
048e46b82e5249f2e60e45e7d1dc62454988cf1963ae6644af50169a705540c6,CB280200990,Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000950,Special Investigation Intake Date: 08/19/2025,moderate,"The substantiated violations include a staffing/supervision failure (caseloads exceeding the rule of 15 per worker, with one worker having 22 cases, indicating a facility-level breakdown and failure to provide sufficient staff) and a policy violation involving the impermissible disclosure of confidential client information to an outside party. These align with the 'Moderate SIRs' categories of 'Environmental or supervision failures' and 'Administrative or Rights-Related Issues' (specifically policy violations raising compliance questions).",3575,113,0.00097244,7194
05313e24de5c597bb90fd604321456ef5fd36cf815e9b18d55ba09cc244535ad,CB250296641,SAMARITAS - BAY,Special Investigation Report,"April 6, 2023",severe,"The report substantiates multiple severe violations aligning with 'Safety and Violence' and 'Environmental or supervision failures' criteria. Staff 3 actively assisted a youth in running away (AWOL) by transporting her to a bus station, which constitutes a serious safety risk and a supervision failure. Furthermore, Staff 3 purchased cigarettes, vape pens, alcohol, and marijuana for multiple youths, directly contributing to substance use and creating unsafe conditions. The agency also failed to follow its own supervision protocols, leaving a youth alone during prohibited hours. These are not minor policy lapses; they are actions that directly endangered youth safety and well-being.",11739,139,0.00310635,9919
