"Address","agencyId","AgencyName","AgencyType","City","County","LicenseEffectiveDate","LicenseeGroupOrganizationName","LicenseExpirationDate","LicenseNumber","LicenseStatus","Phone","ZipCode"
"2954 CONCORD ST, FLINT, Genesee, MI 48504-3040, UNITED STATES","a0i8z0000006U8QAAU","ZONTA HOUSE","Child Caring Institution: Private","FLINT","Genesee","2024-07-21","Whaley Children's Center","2026-07-20","CI250201521","Regular","8102328281","48504-3040"
"520 W HAMPTON RD, ESSEXVILLE, Bay, MI 48732-9710, UNITED STATES","a0i8z0000006U8XAAU","BAY COUNTY JUVENILE HOME","Child Caring Institution: Government Non-MDHHS","ESSEXVILLE","Bay","2026-02-17","Bay County","2028-02-16","CE090200968","Regular","9898924519","48732-9710"
"1600 N HURON RIVER DR, YPSILANTI, Washtenaw, MI 48197-1617, UNITED STATES","a0i8z0000006U8ZAAU","OZONE HOUSE YOUTH SHELTER","Child Caring Institution: Private","Ypsilanti","Washtenaw","2024-10-03","Ozone Inc","2026-10-02","CI810402260","Regular","7346622265","48197-1617"
"418 CASS AVE, MOUNT CLEMENS, Macomb, MI 48043-2123, UNITED STATES","a0i8z0000006U8fAAE","FAMILY YOUTH INTERVENTIONS","Child Caring Institution: Private","Mount Clemens","Macomb","2024-03-31","Comprehensive Youth Services, Inc","2026-03-30","CI500201123","Regular","5864651212","48043-2123"
"5704 ELAINE AVE, KALAMAZOO, Kalamazoo, MI 49048-5859, UNITED STATES","a0i8z0000006VaXAAU","THE GREAT LAKES CENTER FOR AUTISM -ELAINE AVE","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2025-07-14","Residential Opportunities, Inc.","2027-07-13","CI390395642","Regular","2692508249","49048-5859"
"1201 N GRAND TRAVERSE ST, FLINT, Genesee, MI 48503-1312, UNITED STATES","a0i8z0000006Vb1AAE","MOTT CHILDRENS RESIDENCE","Child Caring Institution: Private","FLINT","Genesee","2025-10-28","Whaley Children's Center","2026-04-25","CI250201313","1st Provisional","8102343603","48503-1312"
"903 W GRAND BLVD, DETROIT, Wayne, MI 48208-2365, UNITED STATES","a0i8z0000006Vb2AAE","ALTERNATIVES FOR GIRLS","Child Caring Institution: Private","Detroit","Wayne","2024-07-10","Alternatives For Girls","2026-07-09","CI820243118","Regular","3133614000","48208-2365"
"3791 BARBER RD, OXFORD, Oakland, MI 48371-1915, UNITED STATES","a0i8z0000006Vb6AAE","HOUSE OF PROVIDENCE GIRLS","Child Caring Institution: Private","OXFORD","Oakland","2025-12-21","Margaret Dunn","2027-12-20","CI630398437","Regular","2487092299","48371-1915"
"4650 165th Ave, Hersey, Osceola, MI 49639-8776, UNITED STATES","a0i8z0000006Vb7AAE","Eagle Village Putnam","Child Caring Institution: Private","Hersey","Osceola","2025-06-20","Eagle Village Inc","2027-06-19","CI670290163","Regular","2318327247","49639-8776"
"11875 QUIRK RD, BELLEVILLE, Wayne, MI 48111-3158, UNITED STATES","a0i8z0000006VbEAAU","GIRLSTOWN","Child Caring Institution: Private","BELLEVILLE","Wayne","2025-02-23","Girlstown Foundation","2027-02-22","CI820201146","Regular","7346977245","48111-3158"
"3333 36TH ST SE, KENTWOOD, Kent, MI 49512-2809, UNITED STATES","a0i8z0000006VbIAAU","D.A.R.T.","Child Caring Institution: Private","KENTWOOD","Kent","2024-05-06","Hope Network Behavioral Health Services","2026-05-05","CI410268882","Regular","6169543540","49512-2809"
"4125 WASHTENAW AVE, ANN ARBOR, Washtenaw, MI 48108-1003, UNITED STATES","a0i8z0000006X3qAAE","WASHTENAW COUNTY YOUTH CENTER","Child Caring Institution: Government Non-MDHHS","ANN ARBOR","Washtenaw","2024-05-07","Washtenaw County","2026-05-06","CE810254752","Regular","7349711311","48108-1003"
"115 SWANN CT, HOWELL, Livingston, MI 48843-2153, UNITED STATES","a0i8z0000006X40AAE","THE CONNECTION SHELTER","Child Caring Institution: Private","Howell","Livingston","2024-06-22","Livingston Family Center, Inc,","2026-06-21","CI470272289","Regular","8106235892","48843-2153"
"1200 N TELEGRAPH RD, PONTIAC, Oakland, MI 48341-1032, UNITED STATES","a0i8z0000006X49AAE","Children's Village-Shelter","Child Caring Institution: Government Non-MDHHS","PONTIAC","Oakland","2024-06-14","County of Oakland","2026-06-13","CE630201059","Regular","2488581150","48341-1032"
"8444 OAK RD, EVART, Osceola, MI 49631-8088, UNITED STATES","a0i8z0000006X4CAAU","PINEVIEW HOMES INC","Child Caring Institution: Private","EVART","Osceola","2024-07-01","Pineview Homes Inc","2026-06-30","CI670201366","Regular","2317342045","49631-8088"
"820 JAMES HUNT DR, OXFORD, Oakland, MI 48371-5344, UNITED STATES","a0i8z0000006X4NAAU","Camp Oakland","Child Caring Institution: Private","Oxford","Oakland","2024-07-27","Crossroads for Youth","2026-07-26","CI630201083","Regular","2486282561","48371-5344"
"1005 SILVER CREEK RD, MARQUETTE, Marquette, MI 49855-8951, UNITED STATES","a0i8z0000006XjnAAE","SOUTH BLUFF TEACHING FAMILY HOME","Child Caring Institution: Private","MARQUETTE","Marquette","2025-06-21","Teaching Family Homes of Upper Michigan","2027-06-20","CI520304229","Regular","9062495437","49855-8951"
"3290 36TH ST, GRAND RAPIDS, Kent, MI 49512-8193, UNITED STATES","a0i8z0000006Xk9AAE","KENTWOOD CAMPUS","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-10-23","Wedgwood Christian Services","2026-04-20","CI410201226","1st Provisional","6169422110","49512-8193"
"2425 N. 30TH STREET, ESCANABA, Delta, MI 49829-9203, UNITED STATES","a0i8z0000006XkKAAU","BAY PINES CENTER","Child Caring Institution: MDHHS","ESCANABA","Delta","2025-08-21","Michigan Department of Health and Human Services","2027-08-20","CS210200969","Regular","9067891232","49829-9203"
"1700 University DR, Auburn Hills, Oakland, MI 48326-2673, UNITED STATES","a0i8z0000006XkOAAU","HAVENWYCK IMPULSE DISORDER PROGRAM","Child Caring Institution: Private","Auburn Hills","Oakland","2025-12-05","Havenwyck Hospital","2027-12-04","CI630201167","Regular","2483734074","48326-2673"
"21802 CLARK RD, BELLEVILLE, Wayne, MI 48111-8300, UNITED STATES","a0i8z0000006XkUAAU","SUMPTER HOUSE","Child Caring Institution: Private","Belleville","Wayne","2024-10-27","Spectrum Child & Family Services","2026-10-26","CI820308026","Regular","2485653721","48111-8300"
"5123 OLD PLANK RD, ONONDAGA, Ingham, MI 49264-9707, UNITED STATES","a0i8z0000006XkZAAU","HIGHFIELDS","Child Caring Institution: Private","ONONDAGA","Ingham","2025-03-10","Highfields, Inc.","2027-03-09","CI330201171","Regular","5176282287","49264-9707"
"3340 36TH ST SE, GRAND RAPIDS, Kent, MI 49512-2810, UNITED STATES","a0i8z0000006XkfAAE","EAST CAMPUS","Child Caring Institution: Private","GRAND RAPIDS","Kent","2025-08-27","Wedgwood Christian Services","2027-08-26","CI410298928","Regular","6169422110","49512-2810"
"104 MALTON RD, NEGAUNEE, Marquette, MI 49866-2000, UNITED STATES","a0i8z0000006bwaAAA","GREAT LAKES RECOVERY CENTER FOR YOUTH","Child Caring Institution: Private","Negaunee","Marquette","2025-10-30","Great Lakes Recovery Centers","2027-10-29","CI520345626","Regular","9062289694","49866-2000"
"914 CHURCH ST, FLINT, Genesee, MI 48502-1010, UNITED STATES","a0i8z0000006bwiAAA","R E A C H","Child Caring Institution: Private","Flint","Genesee","2024-09-15","Genesee County Youth Corp Inc","2026-09-14","CI250201372","Regular","8102338700","48502-1010"
"1961 LINCOLN ST, HIGHLAND PARK, Wayne, MI 48203-3077, UNITED STATES","a0i8z0000006bwmAAA","LINCOLN CENTER","Child Caring Institution: Private","HIGHLAND PARK","Wayne","2025-11-16","Spectrum Juvenile Justice Services","2027-11-15","CI820293953","Regular","3138688305","48203-3077"
"3220 52ND ST, KENTWOOD, Kent, MI 49512-9672, UNITED STATES","a0i8z0000006bwnAAA","BETHANY CHRISTIAN SERVICES-GRAND RAPIDS BELLAVIEW","Child Caring Institution: Private","KENTWOOD","Kent","2025-03-05","Bethany Christian Services Inc","2027-03-04","CI410361186","Regular","6168267308","49512-9672"
"21056 DEAN ST, WARREN, Macomb, MI 48091-2760, UNITED STATES","a0i8z0000006bwoAAA","SAFEHAUS","Child Caring Institution: Therapeutic Group Home","WARREN","Macomb","2025-09-02","Safehaus Inc.","2026-03-01","CM500297574","2nd Provisional","5864777472","48091-2760"
"1020 COMMERCE DR, VASSAR, Tuscola, MI 48768-9589, UNITED STATES","a0i8z0000006bwqAAA","CLARENCE FISCHER CENTER","Child Caring Institution: Private","VASSAR","Tuscola","2026-02-10","Wolverine Human Services","2028-02-09","CI790363049","Regular","9898233040","48768-9589"
"1004 CONANT ST, KALAMAZOO, Kalamazoo, MI 49007-2365, UNITED STATES","a0i8z0000006bwsAAA","LTAI IV DD/CI","Child Caring Institution: Therapeutic Group Home","KALAMAZOO","Kalamazoo","2024-12-03","Thorpe, Kimberly","2026-12-02","CM390412729","Regular","2484311371","49007-2365"
"990 W KILGORE RD, KALAMAZOO, Kalamazoo, MI 49008-3614, UNITED STATES","a0i8z0000006bwtAAA","THE ARK","Child Caring Institution: Private","Kalamazoo","Kalamazoo","2024-08-30","Catholic Family Services","2026-08-29","CI390201463","Regular","2693438765","49008-3614"
"955 COMMERCE DR, VASSAR, Tuscola, MI 48768-8954, UNITED STATES","a0i8z0000006bxCAAQ","VASSAR HOUSE","Child Caring Institution: Private","VASSAR","Tuscola","2025-11-25","Wolverine Human Services","2026-05-24","CI790296492","1st Provisional","9898233040","48768-8954"
"1110 HOWARD ST, SAGINAW, Saginaw, MI 48601-2734, UNITED STATES","a0i8z0000006fCvAAI","INNERLINK","Child Caring Institution: Private","Saginaw","Saginaw","2024-05-17","Saginaw Co Youth Prot Council","2026-05-16","CI730201193","Regular","9897533431","48601-2734"
"14555 18 1/2 MILE RD, MARSHALL, Calhoun, MI 49068-8300, UNITED STATES","a0i8z0000006fD5AAI","Calhoun County Youth Center","Child Caring Institution: Government Non-MDHHS","MARSHALL","Calhoun","2024-12-05","Calhoun County","2026-12-04","CE130201005","Regular","2697817221","49068-8300"
"1510 E BLANCHARD RD, SHEPHERD, Isabella, MI 48883-9555, UNITED STATES","a0i8z0000006fDAAAY","Isabella County Non-Secure","Child Caring Institution: Private","Shepherd","Isabella","2024-03-04","McBride Quality Care Services, Inc.","2026-03-03","CI370201202","Regular","9898285240","48883-9555"
"21040 DEAN ST, WARREN, Macomb, MI 48091-2760, UNITED STATES","a0i8z0000006fGhAAI","SAFEHAUS TOO","Child Caring Institution: Therapeutic Group Home","WARREN","Macomb","2025-08-08","Safehaus Inc.","2026-02-07","CM500338959","2nd Provisional","5864777472","48091-2760"
"929 PINE ST, PORT HURON, Saint Clair, MI 48060-5252, UNITED STATES","a0i8z0000006fGkAAI","THE HARBOR","Child Caring Institution: Private","Port Huron","Saint Clair","2024-03-31","Comprehensive Youth Services, Inc","2026-03-30","CI740201466","Regular","8109828584","48060-5252"
"2910 AIRPORT RD, ADRIAN, Lenawee, MI 49221-4109, UNITED STATES","a0i8z0000006fGrAAI","MAURICE SPEAR CAMPUS","Child Caring Institution: Government Non-MDHHS","ADRIAN","Lenawee","2025-04-15","Lenawee County","2027-04-14","CE460201286","Regular","5172655171","49221-4109"
"2355 KNAPP ST NE, GRAND RAPIDS, Kent, MI 49505-4411, UNITED STATES","a0i8z0000006fGyAAI","ST. JOHN'S HOME RESIDENTIAL","Child Caring Institution: Private","GRAND RAPIDS","Kent","2024-03-18","DA Blodgett for Children","2026-03-17","CI410305582","Regular","6163615227","49505-4411"
"19905 ROSLYN RD, DETROIT, Wayne, MI 48221-1852, UNITED STATES","a0i8z0000006fH1AAI","Hope House  - Residential","Child Caring Institution: Private","Detroit","Wayne","2025-03-09","Boys Hope Girls Hope of Michigan, Inc.","2027-03-08","CI820380214","Regular","3135240557","48221-1852"
"1802 CARMANBROOK PKWY, FLINT, Genesee, MI 48507-1444, UNITED STATES","a0i8z0000006iKrAAI","OPTIMIST HOUSE","Child Caring Institution: Private","FLINT","Genesee","2024-05-16","Whaley Children's Center","2026-05-15","CI250309991","Regular","8102374471","48507-1444"
"2629 LENOX ST, DETROIT, Wayne, MI 48215-2667, UNITED STATES","a0i8z0000006iKtAAI","WOLVERINE CENTER","Child Caring Institution: Private","DETROIT","Wayne","2025-11-06","Wolverine Human Services","2026-05-04","CI820201513","1st Provisional","3135908673","48215-2667"
"9616 PORTAGE RD, PORTAGE, Kalamazoo, MI 49002-7257, UNITED STATES","a0i8z0000006iKzAAI","GREAT LAKES CENTER FOR AUTISM TREATMENT & RESEARCH","Child Caring Institution: Private","Portage","Kalamazoo","2025-02-12","Residential Opportunities, Inc.","2027-02-11","CI390318114","Regular","2693433731","49002-7257"
"38500 BEVERLY RD, ROMULUS, Wayne, MI 48174-4009, UNITED STATES","a0i8z0000006iOKAAY","BEVERLY HOUSE","Child Caring Institution: Private","ROMULUS","Wayne","2024-08-15","Spectrum Child & Family Services","2026-08-14","CI820200982","Regular","7347255036","48174-4009"
"511 S JACKSON ST, JACKSON, Jackson, MI 49203-1708, UNITED STATES","a0i8z0000006iOQAAY","SAMARITAS - JACKSON HOUSE","Child Caring Institution: Private","Jackson","Jackson","2025-09-29","Samaritas","2027-09-28","CI380385672","Regular","5177877616","49203-1708"
"17106 W VILLAGE RD, HERSEY, Osceola, MI 49639-9757, UNITED STATES","a0i8z0000006iOZAAY","Eagle Village - Hainley House","Child Caring Institution: Private","HERSEY","Osceola","2024-03-01","Eagle Village Inc","2026-02-28","CI670290161","Regular","2318327245","49639-9757"
"15751 JOY RD, DETROIT, Wayne, MI 48228-2117, UNITED STATES","a0i8z0000006iOcAAI","CHRIST CHILD HOUSE","Child Caring Institution: Private","DETROIT","Wayne","2025-03-25","Christ Child Society","2027-03-24","CI820201063","Regular","3135846077","48228-2117"
"670 BURTON ST SE, GRAND RAPIDS, Kent, MI 49507-3202, UNITED STATES","a0i8z0000006iOfAAI","BRIDGEWAY","Child Caring Institution: Private","Grand Rapids","Kent","2024-05-04","Bethany Christian Services Inc","2026-05-03","CI410399718","Regular","6162047208","49507-3202"
"330 GLENDALE ST, HIGHLAND PARK, Wayne, MI 48203-3277, UNITED STATES","a0i8z0000006iOnAAI","CALUMET CENTER","Child Caring Institution: Private","HIGHLAND PARK","Wayne","2025-08-25","Spectrum Juvenile Justice Services","2027-08-24","CI820201008","Regular","3138527500","48203-3277"
"36708 DARTMOUTH DR, WESTLAND, Wayne, MI 48185-3490, UNITED STATES","a0i8z0000006iOpAAI","GENESIS HOME","Child Caring Institution: Therapeutic Group Home","Westland","Wayne","2025-01-20","Spectrum Community Services","2027-01-19","CI820339439","Regular","7344588729","48185-3490"
"713 9TH ST, BAY CITY, Bay, MI 48708-6403, UNITED STATES","a0i8z0000006iOqAAI","GOOD SAMARITAN RESCUE MISSION","Child Caring Institution: Private","Bay City","Bay","2025-07-24","City Rescue of Saginaw Inc.","2027-07-23","CI090396004","Regular","9898935973","48708-6403"
"2828 W. Willow St., LANSING, Ingham, MI 48917-1833, UNITED STATES","a0i8z000000DIZmAAO","Catholic Charities IEC Children's Home","Child Caring Institution: Private","Lansing","Ingham","2025-10-25","Catholic Charities of Ingham, Eaton & Clinton Counties","2027-10-24","CI331000184","Regular","5172538260","48917-1833"
"751 Hendrie Blvd, Royal Oak, Oakland, MI 48067-3150, UNITED STATES","a0i8z000000RqquAAC","The Sanctuary","Child Caring Institution: Private","Royal Oak","Oakland","2025-09-13","South Oakland Shelter dba Lighthouse MI","2027-09-12","CI631000400","Regular","2484513721","48067-3150"
"8835 Oak Rd, Evart, Osceola, MI 49631-8087, UNITED STATES","a0i8z000000TlQeAAK","River Oak Youth Center","Child Caring Institution: Private","Evart","Osceola","2025-01-07","Youth Opportunity Investments, LLC","2027-01-06","CI671000528","Regular","2317808852","49631-8087"
"400 N Rose St, Suite 100, Mount Clemens, Macomb, MI 48043-1522, UNITED STATES","a0i8z000000VfxQAAS","Saint Clair Youth Treatment Center","Child Caring Institution: Private","Mount Clemens","Macomb","2024-05-13","Rite of Passage, Inc","2026-05-12","CI501000886","Regular","7752672646","48043-1522"
"300 68th St SE, Grand Rapids, Kent, MI 49548-6927, UNITED STATES","a0i8z000000VwxNAAS","Lotus Treatment Program","Child Caring Institution: Private","Grand Rapids","Kent","2025-12-11","Pine Rest Christian Mental Health Services","2027-12-10","CI411000929","Regular","6164559200","49548-6927"
"3400 S Washington Rd, Saginaw, Saginaw, MI 48601-4958, UNITED STATES","a0i8z000000cZ9fAAE","Queen of Angels","Child Caring Institution: Private","Saginaw","Saginaw","2025-03-19","Holy Cross Children's Services","2025-09-14","CI731001543","1st Provisional","9897812780","48601-4958"
"5301 Russell St, Detroit, Wayne, MI 48211-2500, UNITED STATES","a0i8z000000fLdiAAE","Wayne County Juvenile Detention Facility","Child Caring Institution: Government Non-MDHHS","Detroit","Wayne","2025-11-12","County of Wayne","2026-05-11","CE821001676","1st Provisional","3137704458","48211-2500"
"13725 Starr Commonwealth RD, Albion, Calhoun, MI 49224, UNITED STATES","a0i8z000000ff79AAA","Responsive Deployment Children's Shelter","Child Caring Institution: Private","Albion","Calhoun","2024-09-17","Responsive Deployment LLC","2026-09-16","CI131001910","Regular","6472944909","49224"
"3508 Shaffer Ave SE, Grand Rapids, Kent, MI 49512-2808, UNITED STATES","a0i8z000000zfC6AAI","The Audere Home","Child Caring Institution: Private","Grand Rapids","Kent","2026-02-18","Wedgwood Christian Services","2028-02-17","CI411002076","Regular","6169422110","49512-2808"
"4233 Appletree Ln, Lansing, Eaton, MI 48917-1602, UNITED STATES","a0i8z0000010fk5AAA","McBride Appletree YTR Home","Child Caring Institution: Private","Lansing","Eaton","2025-08-04","McBride Quality Care Service","2027-08-03","CM231002162","Regular","9897721261","48917-1602"
"33600 Luther Ln, Livonia, Wayne, MI 48154-5477, UNITED STATES","a0ics000000lUU5AAM","New Directions Livonia","Child Caring Institution: Private","Livonia","Wayne","2025-11-30","Wellspring Lutheran Services","2027-11-29","CI821002731","Regular","9892331804","48154-5477"
"901 Eastern Ave NE, Building C, Grand Rapids, Kent, MI 49503-1201, UNITED STATES","a0ics000000orxBAAQ","Bethany Christian Services TLC","Child Caring Institution: Private","Grand Rapids","Kent","2025-11-03","Bethany Christian Services Inc","2027-11-02","CI411002741","Regular","6163072485","49503-1201"
"43825 Michigan Ave, Suite 2, Canton, Wayne, MI 48188-2551, UNITED STATES","a0ics000000vlQPAAY","Treehouse","Child Caring Institution: Private","Canton","Wayne","2025-11-04","Hegira Health, Inc.","2026-05-02","CM821002765","Original","7344584601","48188-2551"
"1909 Tahoe Cir, Okemos, Ingham, MI 48864-2770, UNITED STATES","a0ics000001UNjNAAW","Heartland Lansing","Child Caring Institution: Therapeutic Group Home","Okemos","Ingham","2025-12-10","Heartland Center for Autism","2027-12-09","CM331002833","Regular","6162726171","48864-2770"
